city_actual,rating_reviewcount,dist_from_cityCenter,dist_from_Montelbaanstoren,neighbourhood,price,stars,rating2_ta,rating2_ta_reviewcount,accommodation_type,guestreviewsrating,scarce_room,hotel_id,offer,offer_cat,year,month,weekend,holiday,num_nights
Amsterdam,165,1.5,1.4,Amsterdam,117,4,4,674,Hotel,4.1 /5,0,3,1,15-50% offer,2017,11,0,0,1
Amsterdam,298,1.9,2.1,Amsterdam,115,3,3.5,1882,Hotel,3.5 /5,0,4,1,15-50% offer,2017,12,0,1,1
Amsterdam,298,1.9,2.1,Amsterdam,71,3,3.5,1882,Hotel,3.5 /5,0,4,1,50%-75% offer,2017,11,0,0,1
Amsterdam,4,1.8,2,Amsterdam,696,3.5,4.5,66,Hotel,4 /5,1,5,1,15-50% offer,2018,4,1,0,1
Amsterdam,4,1.8,2,Amsterdam,922,3.5,4.5,66,Hotel,4 /5,1,5,0,0% no offer,2018,1,1,0,1
Amsterdam,4,1.8,2,Amsterdam,922,3.5,4.5,66,Hotel,4 /5,1,5,0,0% no offer,2017,11,1,0,1
Amsterdam,4,1.8,2,Amsterdam,922,3.5,4.5,66,Hotel,4 /5,1,5,0,0% no offer,2018,3,1,0,1
Amsterdam,4,1.8,2,Amsterdam,922,3.5,4.5,66,Hotel,4 /5,1,5,0,0% no offer,2018,2,1,0,1
Amsterdam,4,1.8,2,Amsterdam,690,3.5,4.5,66,Hotel,4 /5,1,5,1,15-50% offer,2017,11,0,0,1
Amsterdam,4,1.8,2,Amsterdam,696,3.5,4.5,66,Hotel,4 /5,1,5,1,15-50% offer,2018,5,1,0,1
Amsterdam,4,1.8,2,Amsterdam,3087,3.5,4.5,66,Hotel,4 /5,1,5,1,15-50% offer,2017,12,0,1,4
Amsterdam,4,1.8,2,Amsterdam,696,3.5,4.5,66,Hotel,4 /5,1,5,1,15-50% offer,2018,6,1,0,1
Amsterdam,4,1.8,2,Amsterdam,690,3.5,4.5,66,Hotel,4 /5,1,5,1,15-50% offer,2017,12,0,1,1
Amsterdam,310,1.9,2,Amsterdam,216,4,4,767,Hotel,4.1 /5,0,6,1,50%-75% offer,2018,2,1,0,1
Amsterdam,310,1.9,2,Amsterdam,127,4,4,767,Hotel,4.1 /5,0,6,1,50%-75% offer,2017,11,0,0,1
Amsterdam,310,1.9,2,Amsterdam,127,4,4,767,Hotel,4.1 /5,0,6,1,50%-75% offer,2017,12,0,1,1
Amsterdam,310,1.9,2,Amsterdam,216,4,4,767,Hotel,4.1 /5,0,6,1,50%-75% offer,2018,1,1,0,1
Amsterdam,310,1.9,2,Amsterdam,324,4,4,767,Hotel,4.1 /5,0,6,1,15-50% offer,2018,3,1,0,1
Amsterdam,310,1.9,2,Amsterdam,186,4,4,767,Hotel,4.1 /5,0,6,1,50%-75% offer,2017,11,1,0,1
Amsterdam,310,1.9,2,Amsterdam,745,4,4,767,Hotel,4.1 /5,0,6,1,50%-75% offer,2017,12,0,1,4
Amsterdam,258,0.8,1.2,Amsterdam,228,3.5,4.5,273,Hotel,4.4 /5,1,7,1,1-15% offer,2018,2,1,0,1
Amsterdam,258,0.8,1.2,Amsterdam,167,3.5,4.5,273,Hotel,4.4 /5,1,7,1,15-50% offer,2017,11,0,0,1
Amsterdam,258,0.8,1.2,Amsterdam,177,3.5,4.5,273,Hotel,4.4 /5,1,7,1,15-50% offer,2017,12,0,1,1
Amsterdam,258,0.8,1.2,Amsterdam,187,3.5,4.5,273,Hotel,4.4 /5,1,7,1,15-50% offer,2018,1,1,0,1
Amsterdam,210,0.9,0.8,Amsterdam,987,4,4.5,298,Hotel,4.8 /5,0,8,0,0% no offer,2017,12,0,1,4
Amsterdam,210,0.9,0.8,Amsterdam,207,4,4.5,298,Hotel,4.8 /5,0,8,0,0% no offer,2017,12,0,1,1
Amsterdam,967,1,0.5,Amsterdam,210,4,4.5,6452,Hotel,4.4 /5,0,9,1,15-50% offer,2018,2,1,0,1
Amsterdam,967,1,0.5,Amsterdam,1145,4,4.5,6452,Hotel,4.4 /5,1,9,1,1-15% offer,2017,12,0,1,4
Amsterdam,967,1,0.5,Amsterdam,218,4,4.5,6452,Hotel,4.4 /5,1,9,1,1-15% offer,2017,11,0,0,1
Amsterdam,967,1,0.5,Amsterdam,218,4,4.5,6452,Hotel,4.4 /5,0,9,1,15-50% offer,2018,1,1,0,1
Amsterdam,967,1,0.5,Amsterdam,375,4,4.5,6452,Hotel,4.4 /5,0,9,1,1-15% offer,2018,6,1,0,1
Amsterdam,967,1,0.5,Amsterdam,197,4,4.5,6452,Hotel,4.4 /5,0,9,1,1-15% offer,2017,12,0,1,1
Amsterdam,967,1,0.5,Amsterdam,422,4,4.5,6452,Hotel,4.4 /5,0,9,1,1-15% offer,2018,5,1,0,1
Amsterdam,967,1,0.5,Amsterdam,328,4,4.5,6452,Hotel,4.4 /5,1,9,1,1-15% offer,2017,11,1,0,1
Amsterdam,967,1,0.5,Amsterdam,521,4,4.5,6452,Hotel,4.4 /5,0,9,1,1-15% offer,2018,4,1,0,1
Amsterdam,341,2.2,1.9,Amsterdam,97,3,3.5,435,Hotel,3.7 /5,0,11,1,15-50% offer,2017,11,0,0,1
Amsterdam,341,2.2,1.9,Amsterdam,167,3,3.5,435,Hotel,3.7 /5,0,11,0,0% no offer,2017,11,1,0,1
Amsterdam,341,2.2,1.9,Amsterdam,105,3,3.5,435,Hotel,3.7 /5,0,11,1,15-50% offer,2018,1,1,0,1
Amsterdam,341,2.2,1.9,Amsterdam,117,3,3.5,435,Hotel,3.7 /5,0,11,1,15-50% offer,2018,2,1,0,1
Amsterdam,341,2.2,1.9,Amsterdam,100,3,3.5,435,Hotel,3.7 /5,0,11,1,15-50% offer,2017,12,0,1,1
Amsterdam,341,2.2,1.9,Amsterdam,469,3,3.5,435,Hotel,3.7 /5,0,11,1,1-15% offer,2017,12,0,1,4
Amsterdam,80,1.2,0.9,Amsterdam,167,2,3,160,Hotel,3 /5,0,12,1,15-50% offer,2018,1,1,0,1
Amsterdam,80,1.2,0.9,Amsterdam,185,2,3,160,Hotel,3 /5,0,12,1,1-15% offer,2018,6,1,0,1
Amsterdam,80,1.2,0.9,Amsterdam,92,2,3,160,Hotel,3 /5,0,12,1,50%-75% offer,2017,11,0,0,1
Amsterdam,80,1.2,0.9,Amsterdam,185,2,3,160,Hotel,3 /5,0,12,1,1-15% offer,2018,4,1,0,1
Amsterdam,80,1.2,0.9,Amsterdam,185,2,3,160,Hotel,3 /5,0,12,1,1-15% offer,2018,3,1,0,1
Amsterdam,80,1.2,0.9,Amsterdam,185,2,3,160,Hotel,3 /5,0,12,1,1-15% offer,2018,5,1,0,1
Amsterdam,80,1.2,0.9,Amsterdam,752,2,3,160,Hotel,3 /5,0,12,1,1-15% offer,2017,12,0,1,4
Amsterdam,80,1.2,0.9,Amsterdam,167,2,3,160,Hotel,3 /5,0,12,1,15-50% offer,2018,2,1,0,1
Amsterdam,80,1.2,0.9,Amsterdam,157,2,3,160,Hotel,3 /5,0,12,1,15-50% offer,2017,12,0,1,1
Amsterdam,100,1.7,1.9,Amsterdam RAI - World Trade Center,130,4,3.5,525,Hotel,3.7 /5,1,14,1,15-50% offer,2017,11,0,0,1
Amsterdam,100,1.7,1.9,Amsterdam RAI - World Trade Center,156,4,3.5,525,Hotel,3.7 /5,0,14,1,15-50% offer,2018,2,1,0,1
Amsterdam,100,1.7,1.9,Amsterdam RAI - World Trade Center,156,4,3.5,525,Hotel,3.7 /5,0,14,1,15-50% offer,2018,1,1,0,1
Amsterdam,100,1.7,1.9,Amsterdam RAI - World Trade Center,777,4,3.5,525,Hotel,3.7 /5,0,14,1,15-50% offer,2017,12,0,1,4
Amsterdam,100,1.7,1.9,Amsterdam RAI - World Trade Center,141,4,3.5,525,Hotel,3.7 /5,0,14,1,15-50% offer,2017,12,0,1,1
Amsterdam,52,1.7,2,Amsterdam RAI - World Trade Center,184,4,4,296,Hotel,4.5 /5,0,15,1,15-50% offer,2018,1,1,0,1
Amsterdam,52,1.7,2,Amsterdam RAI - World Trade Center,773,4,4,296,Hotel,4.5 /5,0,15,1,15-50% offer,2017,12,0,1,4
Amsterdam,52,1.7,2,Amsterdam RAI - World Trade Center,399,4,4,296,Hotel,4.5 /5,1,15,0,0% no offer,2018,3,1,0,1
Amsterdam,52,1.7,2,Amsterdam RAI - World Trade Center,387,4,4,296,Hotel,4.5 /5,1,15,0,0% no offer,2018,6,1,0,1
Amsterdam,52,1.7,2,Amsterdam RAI - World Trade Center,387,4,4,296,Hotel,4.5 /5,1,15,0,0% no offer,2018,5,1,0,1
Amsterdam,52,1.7,2,Amsterdam RAI - World Trade Center,132,4,4,296,Hotel,4.5 /5,0,15,1,15-50% offer,2017,11,0,0,1
Amsterdam,52,1.7,2,Amsterdam RAI - World Trade Center,161,4,4,296,Hotel,4.5 /5,0,15,1,15-50% offer,2017,12,0,1,1
Amsterdam,52,1.7,2,Amsterdam RAI - World Trade Center,341,4,4,296,Hotel,4.5 /5,1,15,0,0% no offer,2018,2,1,0,1
Amsterdam,52,1.7,2,Amsterdam RAI - World Trade Center,387,4,4,296,Hotel,4.5 /5,1,15,0,0% no offer,2018,4,1,0,1
Amsterdam,394,1.7,2,Amsterdam RAI - World Trade Center,207,5,4.5,2982,Hotel,4.4 /5,0,16,1,50%-75% offer,2017,11,0,0,1
Amsterdam,394,1.7,2,Amsterdam RAI - World Trade Center,207,5,4.5,2982,Hotel,4.4 /5,0,16,1,50%-75% offer,2018,2,1,0,1
Amsterdam,394,1.7,2,Amsterdam RAI - World Trade Center,254,5,4.5,2982,Hotel,4.4 /5,0,16,1,50%-75% offer,2018,6,1,0,1
Amsterdam,394,1.7,2,Amsterdam RAI - World Trade Center,300,5,4.5,2982,Hotel,4.4 /5,0,16,1,15-50% offer,2018,4,1,0,1
Amsterdam,394,1.7,2,Amsterdam RAI - World Trade Center,924,5,4.5,2982,Hotel,4.4 /5,0,16,1,50%-75% offer,2017,12,0,1,4
Amsterdam,394,1.7,2,Amsterdam RAI - World Trade Center,300,5,4.5,2982,Hotel,4.4 /5,0,16,1,15-50% offer,2018,5,1,0,1
Amsterdam,394,1.7,2,Amsterdam RAI - World Trade Center,196,5,4.5,2982,Hotel,4.4 /5,0,16,1,50%-75% offer,2018,1,1,0,1
Amsterdam,394,1.7,2,Amsterdam RAI - World Trade Center,207,5,4.5,2982,Hotel,4.4 /5,0,16,1,50%-75% offer,2017,12,0,1,1
Amsterdam,394,1.7,2,Amsterdam RAI - World Trade Center,242,5,4.5,2982,Hotel,4.4 /5,0,16,1,50%-75% offer,2017,11,1,0,1
Amsterdam,394,1.7,2,Amsterdam RAI - World Trade Center,300,5,4.5,2982,Hotel,4.4 /5,0,16,1,15-50% offer,2018,3,1,0,1
Amsterdam,434,1.7,1.8,Amsterdam RAI - World Trade Center,134,4,4,1797,Hotel,4.1 /5,0,17,1,75%+ offer,2017,12,0,1,1
Amsterdam,434,1.7,1.8,Amsterdam RAI - World Trade Center,172,4,4,1797,Hotel,4.1 /5,0,17,1,50%-75% offer,2017,11,0,0,1
Amsterdam,434,1.7,1.8,Amsterdam RAI - World Trade Center,433,4,4,1797,Hotel,4.1 /5,0,17,1,15-50% offer,2018,6,1,0,1
Amsterdam,434,1.7,1.8,Amsterdam RAI - World Trade Center,208,4,4,1797,Hotel,4.1 /5,0,17,1,50%-75% offer,2017,11,1,0,1
Amsterdam,434,1.7,1.8,Amsterdam RAI - World Trade Center,505,4,4,1797,Hotel,4.1 /5,0,17,1,75%+ offer,2017,12,0,1,4
Amsterdam,434,1.7,1.8,Amsterdam RAI - World Trade Center,242,4,4,1797,Hotel,4.1 /5,0,17,1,50%-75% offer,2018,5,1,0,1
Amsterdam,434,1.7,1.8,Amsterdam RAI - World Trade Center,302,4,4,1797,Hotel,4.1 /5,0,17,1,15-50% offer,2018,4,1,0,1
Amsterdam,434,1.7,1.8,Amsterdam RAI - World Trade Center,235,4,4,1797,Hotel,4.1 /5,0,17,1,50%-75% offer,2018,3,1,0,1
Amsterdam,434,1.7,1.8,Amsterdam RAI - World Trade Center,202,4,4,1797,Hotel,4.1 /5,0,17,1,50%-75% offer,2018,2,1,0,1
Amsterdam,434,1.7,1.8,Amsterdam RAI - World Trade Center,179,4,4,1797,Hotel,4.1 /5,0,17,1,50%-75% offer,2018,1,1,0,1
Amsterdam,170,1.8,2,Amsterdam RAI - World Trade Center,590,3,3.5,453,Hotel,3.7 /5,1,18,1,1-15% offer,2017,12,0,1,4
Amsterdam,170,1.8,2,Amsterdam RAI - World Trade Center,139,3,3.5,453,Hotel,3.7 /5,1,18,1,75%+ offer,2018,2,1,0,1
Amsterdam,170,1.8,2,Amsterdam RAI - World Trade Center,91,3,3.5,453,Hotel,3.7 /5,0,18,1,75%+ offer,2017,11,0,0,1
Amsterdam,170,1.8,2,Amsterdam RAI - World Trade Center,139,3,3.5,453,Hotel,3.7 /5,1,18,1,75%+ offer,2018,1,1,0,1
Amsterdam,170,1.8,2,Amsterdam RAI - World Trade Center,128,3,3.5,453,Hotel,3.7 /5,1,18,1,75%+ offer,2017,12,0,1,1
Amsterdam,374,1.7,2,Amsterdam RAI - World Trade Center,219,5,4,1498,Hotel,4.1 /5,0,19,1,15-50% offer,2017,11,1,0,1
Amsterdam,374,1.7,2,Amsterdam RAI - World Trade Center,207,5,4,1498,Hotel,4.1 /5,0,19,1,15-50% offer,2018,1,1,0,1
Amsterdam,374,1.7,2,Amsterdam RAI - World Trade Center,289,5,4,1498,Hotel,4.1 /5,0,19,1,1-15% offer,2018,3,1,0,1
Amsterdam,374,1.7,2,Amsterdam RAI - World Trade Center,156,5,4,1498,Hotel,4.1 /5,0,19,1,50%-75% offer,2017,12,0,1,1
Amsterdam,374,1.7,2,Amsterdam RAI - World Trade Center,231,5,4,1498,Hotel,4.1 /5,0,19,1,15-50% offer,2018,2,1,0,1
Amsterdam,374,1.7,2,Amsterdam RAI - World Trade Center,149,5,4,1498,Hotel,4.1 /5,0,19,1,50%-75% offer,2017,11,0,0,1
Amsterdam,374,1.7,2,Amsterdam RAI - World Trade Center,277,5,4,1498,Hotel,4.1 /5,0,19,1,1-15% offer,2018,5,1,0,1
Amsterdam,374,1.7,2,Amsterdam RAI - World Trade Center,277,5,4,1498,Hotel,4.1 /5,0,19,1,1-15% offer,2018,4,1,0,1
Amsterdam,374,1.7,2,Amsterdam RAI - World Trade Center,819,5,4,1498,Hotel,4.1 /5,0,19,1,1-15% offer,2017,12,0,1,4
Amsterdam,344,2.2,2.2,Amsterdam RAI - World Trade Center,114,3.5,4.5,889,Hotel,4.5 /5,0,20,0,0% no offer,2018,2,1,0,1
Amsterdam,344,2.2,2.2,Amsterdam RAI - World Trade Center,102,3.5,4.5,889,Hotel,4.5 /5,0,20,0,0% no offer,2017,12,0,1,1
Amsterdam,344,2.2,2.2,Amsterdam RAI - World Trade Center,114,3.5,4.5,889,Hotel,4.5 /5,0,20,0,0% no offer,2018,6,1,0,1
Amsterdam,344,2.2,2.2,Amsterdam RAI - World Trade Center,114,3.5,4.5,889,Hotel,4.5 /5,0,20,0,0% no offer,2018,1,1,0,1
Amsterdam,344,2.2,2.2,Amsterdam RAI - World Trade Center,102,3.5,4.5,889,Hotel,4.5 /5,0,20,0,0% no offer,2017,11,0,0,1
Amsterdam,316,2.4,2.5,Amsterdam RAI - World Trade Center,114,3.5,4,1736,Hotel,3.9 /5,0,21,1,15-50% offer,2018,1,1,0,1
Amsterdam,316,2.4,2.5,Amsterdam RAI - World Trade Center,242,3.5,4,1736,Hotel,3.9 /5,0,21,0,0% no offer,2018,6,1,0,1
Amsterdam,316,2.4,2.5,Amsterdam RAI - World Trade Center,97,3.5,4,1736,Hotel,3.9 /5,0,21,1,15-50% offer,2017,12,0,1,1
Amsterdam,316,2.4,2.5,Amsterdam RAI - World Trade Center,540,3.5,4,1736,Hotel,3.9 /5,0,21,1,1-15% offer,2017,12,0,1,4
Amsterdam,316,2.4,2.5,Amsterdam RAI - World Trade Center,242,3.5,4,1736,Hotel,3.9 /5,0,21,0,0% no offer,2018,5,1,0,1
Amsterdam,316,2.4,2.5,Amsterdam RAI - World Trade Center,231,3.5,4,1736,Hotel,3.9 /5,0,21,0,0% no offer,2018,4,1,0,1
Amsterdam,316,2.4,2.5,Amsterdam RAI - World Trade Center,103,3.5,4,1736,Hotel,3.9 /5,0,21,1,15-50% offer,2017,11,0,0,1
Amsterdam,316,2.4,2.5,Amsterdam RAI - World Trade Center,138,3.5,4,1736,Hotel,3.9 /5,0,21,1,1-15% offer,2018,2,1,0,1
Amsterdam,880,2.3,2.4,Amsterdam RAI - World Trade Center,153,4,4.5,4862,Hotel,4.5 /5,0,22,1,15-50% offer,2017,11,0,0,1
Amsterdam,880,2.3,2.4,Amsterdam RAI - World Trade Center,175,4,4.5,4862,Hotel,4.5 /5,0,22,1,15-50% offer,2017,11,1,0,1
Amsterdam,880,2.3,2.4,Amsterdam RAI - World Trade Center,186,4,4.5,4862,Hotel,4.5 /5,0,22,1,15-50% offer,2018,5,1,0,1
Amsterdam,880,2.3,2.4,Amsterdam RAI - World Trade Center,142,4,4.5,4862,Hotel,4.5 /5,0,22,1,15-50% offer,2018,1,1,0,1
Amsterdam,880,2.3,2.4,Amsterdam RAI - World Trade Center,653,4,4.5,4862,Hotel,4.5 /5,0,22,1,15-50% offer,2017,12,0,1,4
Amsterdam,880,2.3,2.4,Amsterdam RAI - World Trade Center,142,4,4.5,4862,Hotel,4.5 /5,0,22,1,15-50% offer,2018,2,1,0,1
Amsterdam,880,2.3,2.4,Amsterdam RAI - World Trade Center,134,4,4.5,4862,Hotel,4.5 /5,0,22,1,15-50% offer,2017,12,0,1,1
Amsterdam,47,2.5,2.9,Amsterdam RAI - World Trade Center,244,4,5,37,Apart-hotel,4.8 /5,0,23,1,15-50% offer,2017,11,1,0,1
Amsterdam,47,2.5,2.9,Amsterdam RAI - World Trade Center,191,4,5,37,Apart-hotel,4.8 /5,0,23,1,50%-75% offer,2017,11,0,0,1
Amsterdam,47,2.5,2.9,Amsterdam RAI - World Trade Center,169,4,5,37,Apart-hotel,4.8 /5,1,23,1,50%-75% offer,2017,12,0,1,1
Amsterdam,47,2.5,2.9,Amsterdam RAI - World Trade Center,212,4,5,37,Apart-hotel,4.8 /5,1,23,1,15-50% offer,2018,2,1,0,1
Amsterdam,47,2.5,2.9,Amsterdam RAI - World Trade Center,940,4,5,37,Apart-hotel,4.8 /5,1,23,1,15-50% offer,2017,12,0,1,4
Amsterdam,47,2.5,2.9,Amsterdam RAI - World Trade Center,191,4,5,37,Apart-hotel,4.8 /5,1,23,1,50%-75% offer,2018,1,1,0,1
Amsterdam,114,2.9,3,Amsterdam South,184,4,4.5,658,Hotel,4.5 /5,0,24,0,0% no offer,2017,11,1,0,1
Amsterdam,114,2.9,3,Amsterdam South,277,4,4.5,658,Hotel,4.5 /5,0,24,0,0% no offer,2018,5,1,0,1
Amsterdam,114,2.9,3,Amsterdam South,172,4,4.5,658,Hotel,4.5 /5,0,24,0,0% no offer,2018,1,1,0,1
Amsterdam,114,2.9,3,Amsterdam South,289,4,4.5,658,Hotel,4.5 /5,0,24,0,0% no offer,2018,4,1,0,1
Amsterdam,114,2.9,3,Amsterdam South,681,4,4.5,658,Hotel,4.5 /5,0,24,0,0% no offer,2017,12,0,1,4
Amsterdam,114,2.9,3,Amsterdam South,184,4,4.5,658,Hotel,4.5 /5,0,24,0,0% no offer,2018,2,1,0,1
Amsterdam,114,2.9,3,Amsterdam South,207,4,4.5,658,Hotel,4.5 /5,0,24,0,0% no offer,2017,11,0,0,1
Amsterdam,114,2.9,3,Amsterdam South,358,4,4.5,658,Hotel,4.5 /5,0,24,0,0% no offer,2018,6,1,0,1
Amsterdam,114,2.9,3,Amsterdam South,186,4,4.5,658,Hotel,4.5 /5,0,24,0,0% no offer,2017,12,0,1,1
Amsterdam,114,2.9,3,Amsterdam South,242,4,4.5,658,Hotel,4.5 /5,0,24,0,0% no offer,2018,3,1,0,1
Amsterdam,194,1.8,1.6,Amsterdam South,445,2,2.5,262,Hotel,2.9 /5,1,25,1,15-50% offer,2017,12,0,1,4
Amsterdam,194,1.8,1.6,Amsterdam South,101,2,2.5,262,Hotel,2.9 /5,0,25,1,15-50% offer,2018,2,1,0,1
Amsterdam,194,1.8,1.6,Amsterdam South,99,2,2.5,262,Hotel,2.9 /5,0,25,1,15-50% offer,2018,1,1,0,1
Amsterdam,194,1.8,1.6,Amsterdam South,128,2,2.5,262,Hotel,2.9 /5,1,25,1,15-50% offer,2017,12,0,1,1
Amsterdam,194,1.8,1.6,Amsterdam South,66,2,2.5,262,Hotel,2.9 /5,1,25,1,50%-75% offer,2017,11,0,0,1
Amsterdam,375,2.7,2.7,Amsterdam South,229,4,4,1494,Hotel,4 /5,0,26,1,15-50% offer,2018,4,1,0,1
Amsterdam,375,2.7,2.7,Amsterdam South,219,4,4,1494,Hotel,4 /5,0,26,1,15-50% offer,2018,3,1,0,1
Amsterdam,375,2.7,2.7,Amsterdam South,135,4,4,1494,Hotel,4 /5,0,26,1,50%-75% offer,2018,2,1,0,1
Amsterdam,375,2.7,2.7,Amsterdam South,193,4,4,1494,Hotel,4 /5,0,26,1,15-50% offer,2018,5,1,0,1
Amsterdam,375,2.7,2.7,Amsterdam South,118,4,4,1494,Hotel,4 /5,0,26,1,50%-75% offer,2018,1,1,0,1
Amsterdam,375,2.7,2.7,Amsterdam South,111,4,4,1494,Hotel,4 /5,0,26,1,50%-75% offer,2017,12,0,1,1
Amsterdam,375,2.7,2.7,Amsterdam South,568,4,4,1494,Hotel,4 /5,0,26,1,50%-75% offer,2017,12,0,1,4
Amsterdam,375,2.7,2.7,Amsterdam South,156,4,4,1494,Hotel,4 /5,0,26,1,15-50% offer,2017,11,0,0,1
Amsterdam,375,2.7,2.7,Amsterdam South,177,4,4,1494,Hotel,4 /5,0,26,1,15-50% offer,2017,11,1,0,1
Amsterdam,14,2.6,3.1,Amsterdam South,207,4,4.5,1911,Hotel,4.5 /5,0,27,0,0% no offer,2018,6,1,0,1
Amsterdam,14,2.6,3.1,Amsterdam South,176,4,4.5,1911,Hotel,4.5 /5,0,27,0,0% no offer,2017,11,1,0,1
Amsterdam,14,2.6,3.1,Amsterdam South,124,4,4.5,1911,Hotel,4.5 /5,0,27,0,0% no offer,2017,12,0,1,1
Amsterdam,14,2.6,3.1,Amsterdam South,134,4,4.5,1911,Hotel,4.5 /5,0,27,0,0% no offer,2018,1,1,0,1
Amsterdam,14,2.6,3.1,Amsterdam South,633,4,4.5,1911,Hotel,4.5 /5,0,27,0,0% no offer,2017,12,0,1,4
Amsterdam,14,2.6,3.1,Amsterdam South,134,4,4.5,1911,Hotel,4.5 /5,0,27,0,0% no offer,2018,2,1,0,1
Amsterdam,14,2.6,3.1,Amsterdam South,197,4,4.5,1911,Hotel,4.5 /5,0,27,0,0% no offer,2018,5,1,0,1
Amsterdam,14,2.6,3.1,Amsterdam South,94,4,4.5,1911,Hotel,4.5 /5,0,27,0,0% no offer,2017,11,0,0,1
Amsterdam,14,2.6,3.1,Amsterdam South,364,4,4.5,1911,Hotel,4.5 /5,0,27,0,0% no offer,2018,4,1,0,1
Amsterdam,629,2.7,2.7,Amsterdam South,126,4,4,2844,Hotel,4 /5,0,28,1,15-50% offer,2018,2,1,0,1
Amsterdam,629,2.7,2.7,Amsterdam South,114,4,4,2844,Hotel,4 /5,0,28,1,50%-75% offer,2017,12,0,1,1
Amsterdam,629,2.7,2.7,Amsterdam South,138,4,4,2844,Hotel,4 /5,0,28,1,15-50% offer,2018,1,1,0,1
Amsterdam,629,2.7,2.7,Amsterdam South,533,4,4,2844,Hotel,4 /5,0,28,1,15-50% offer,2017,12,0,1,4
Amsterdam,629,2.7,2.7,Amsterdam South,126,4,4,2844,Hotel,4 /5,0,28,1,15-50% offer,2017,11,1,0,1
Amsterdam,629,2.7,2.7,Amsterdam South,138,4,4,2844,Hotel,4 /5,0,28,1,15-50% offer,2017,11,0,0,1
Amsterdam,305,2.7,2.8,Amsterdam South,176,4,4.5,1252,Hotel,4.6 /5,0,29,1,15-50% offer,2018,2,1,0,1
Amsterdam,305,2.7,2.8,Amsterdam South,197,4,4.5,1252,Hotel,4.6 /5,0,29,1,15-50% offer,2018,5,1,0,1
Amsterdam,305,2.7,2.8,Amsterdam South,748,4,4.5,1252,Hotel,4.6 /5,0,29,1,15-50% offer,2017,12,0,1,4
Amsterdam,305,2.7,2.8,Amsterdam South,155,4,4.5,1252,Hotel,4.6 /5,0,29,1,50%-75% offer,2018,1,1,0,1
Amsterdam,305,2.7,2.8,Amsterdam South,145,4,4.5,1252,Hotel,4.6 /5,0,29,1,50%-75% offer,2018,6,1,0,1
Amsterdam,305,2.7,2.8,Amsterdam South,176,4,4.5,1252,Hotel,4.6 /5,0,29,1,15-50% offer,2017,12,0,1,1
Amsterdam,120,3.3,3.6,Amsterdam South,164,3,4,231,Hotel,4 /5,0,30,1,1-15% offer,2017,12,0,1,1
Amsterdam,120,3.3,3.6,Amsterdam South,175,3,4,231,Hotel,4 /5,1,30,1,1-15% offer,2018,6,1,0,1
Amsterdam,120,3.3,3.6,Amsterdam South,153,3,4,231,Hotel,4 /5,0,30,1,15-50% offer,2018,1,1,0,1
Amsterdam,120,3.3,3.6,Amsterdam South,164,3,4,231,Hotel,4 /5,0,30,1,1-15% offer,2017,11,0,0,1
Amsterdam,120,3.3,3.6,Amsterdam South,208,3,4,231,Hotel,4 /5,1,30,0,0% no offer,2017,11,1,0,1
Amsterdam,120,3.3,3.6,Amsterdam South,197,3,4,231,Hotel,4 /5,0,30,0,0% no offer,2018,5,1,0,1
